,lat,lon,fs_parks
121,43.639052,-79.399792,50
122,43.6448617,-79.42822,43
123,43.6409,-79.432837,32
124,43.660414,-79.415646,48
125,43.661975,-79.407896,49
126,43.65905,-79.422988,35
127,43.66,-79.40888889,50
128,43.690564,-79.326319,23
129,43.688325,-79.300463,25
130,43.65716,-79.46478,26
131,43.6772,-79.35858,29
132,43.662712,-79.379903,50
133,43.658938,-79.383518,50
134,43.683378,-79.322961,28
135,43.6425636,-79.3762,50
136,43.6521,-79.4486,32
137,43.669969,-79.386532,50
138,43.633473,-79.425679,28
139,43.630254,-79.420317,25
140,43.662403,-79.423098,37
141,43.656945,-79.424911,31
142,43.6817346,-79.4184725,33
143,43.683296,-79.418734,30
144,43.673831,-79.281455,9
145,43.666325,-79.3014,23
146,43.651145,-79.423742,37
147,43.654905,-79.398448,50
148,43.651118,-79.369411,50
149,43.6571,-79.4056,50
150,43.652823,-79.393388,50
151,43.665527,-79.387499,50
152,43.6582,-79.3768,50
153,43.671172,-79.354704,33
154,43.677076,-79.35667,29
155,43.680223,-79.344062,28
156,43.678401,-79.346289,28
157,43.681991,-79.329455,25
158,43.6422222,-79.41111111,50
159,43.663808,-79.410491,44
160,43.6666667,-79.41166667,44
161,43.6638889,-79.41888889,43
162,43.661705,-79.425734,34
163,43.6686111,-79.42027778,41
164,43.665327,-79.43235,33
165,43.657343,-79.43112,36
166,43.645324,-79.40345,50
167,43.650256,-79.36163,42
168,43.65111111,-79.42138889,37
169,43.656296,-79.414663,43
170,43.651281,-79.411717,48
171,43.65277778,-79.42972222,39
172,43.655,-79.418889,37
173,43.668553,-79.338673,43
174,43.663912,-79.327987,36
175,43.6462176,-79.3855048,50
176,43.69595,-79.328535,15
177,43.6753188,-79.3462789,35
178,43.6720273,-79.3470557,42
179,43.637981,-79.424146,39
180,43.640885,-79.416379,47
181,43.6552778,-79.36583333,50
182,43.6712581,-79.376367,50
183,43.664524,-79.36793,49
184,43.665867,-79.362506,38
185,43.648575,-79.380042,50
186,43.643473,-79.390477,50
187,43.645859,-79.38783,50
188,43.662132,-79.3656796,50
189,43.640722,-79.391051,50
190,43.66207,-79.37617,50
191,43.660206,-79.3244,31
192,43.668633,-79.291162,11
193,43.665801,-79.384796,50
194,43.668153,-79.38891,50
195,43.657024,-79.377257,50
196,43.662862,-79.383572,50
197,43.7063473,-79.40161,27
198,43.6978701,-79.39419,28
199,43.696708,-79.40045,27
200,43.6476616,-79.37549,50
201,43.6487245,-79.36839,50
202,43.64852,-79.380576,50
203,43.656026,-79.385327,50
204,43.645323,-79.395003,50
205,43.677778,-79.405556,50
206,43.641646,-79.375308,49
207,43.646162,-79.378912,50
208,43.687323,-79.304848,27
209,43.668991,-79.379385,50
210,43.6622222,-79.3825,50
211,43.64333333,-79.40555556,50
212,43.6575,-79.39527778,50
213,43.657424,-79.381019,50
214,43.64595,-79.378761,50
215,43.668427,-79.38725,50
216,43.669604,-79.381171,50
217,43.661673,-79.337789,33
218,43.665656,-79.352055,44
219,43.6308933,-79.4722622,17
220,43.6224434,-79.480284,17
221,43.66986,-79.398443,50
222,43.659471,-79.350325,41
223,43.650492,-79.450842,35
224,43.640255,-79.439223,31
225,43.637922,-79.431734,29
226,43.643769,-79.447915,29
227,43.649172,-79.4445087,31
228,43.663912,-79.416124,44
229,43.6458569,-79.3853654,50
230,43.66587,-79.33443,34
231,43.658816,-79.367318,50
232,43.654004,-79.444792,28
233,43.6397,-79.44865,27
234,43.653809,-79.3595,41
235,43.673768,-79.391253,50
236,43.656638,-79.358749,46
237,43.716652,-79.399993,22
238,43.684261,-79.299332,27
239,43.678685,-79.297974,28
240,43.65143,-79.47779,24
241,43.64976,-79.48477,20
242,43.664182,-79.449066,35
243,43.64407,-79.3929,50
244,43.61868,-79.48674,18
245,43.6442,-79.38702,50
246,43.64283,-79.38409,50
247,43.65182,-79.47421,26
248,43.685569,-79.408019,31
249,43.651678,-79.375233,50
250,43.651838,-79.378743,50
251,43.665221,-79.394009,50
252,43.688148,-79.362101,21
253,43.669232,-79.374495,50
254,43.640075,-79.414156,50
255,43.678285,-79.347346,28
256,43.697139,-79.31469,18
257,43.694826,-79.295208,19
258,43.673118,-79.318651,35
259,43.689293,-79.295895,24
260,43.66908,-79.3149,34
261,43.66073,-79.47149,22
262,43.63121,-79.41414,33
263,43.66189,-79.42679,33
264,43.65389,-79.4675,30
265,43.676697,-79.445029,25
266,43.68114,-79.4277,21
267,43.663148,-79.347938,40
268,43.669813,-79.3335,43
269,43.633537,-79.437461,20
270,43.63632,-79.47307,22
271,43.697819,-79.38786,24
272,43.638426,-79.429142,30
273,43.65988,-79.38279,50
274,43.66842,-79.410585,49
275,43.66402,-79.46418,25
276,43.66686,-79.46526,25
277,43.671278,-79.372127,50
278,43.635023,-79.399505,48
279,43.66834,-79.38235,50
280,43.65263,-79.38766,50
281,43.70547,-79.40355,25
282,43.641675,-79.354006,15
283,43.694341,-79.291416,15
284,43.64422,-79.36927,44
285,43.685924,-79.376304,24
286,43.645215,-79.364898,41
287,43.646677,-79.442741,32
288,43.63855,-79.46693,23
289,43.645599,-79.4657123,30
290,43.674923,-79.430465,23
291,43.684758,-79.316767,30
292,43.66663,-79.38148,50
293,43.685221,-79.294766,25
294,43.635492,-79.398253,49
295,43.63951,-79.383717,50
296,43.641529,-79.386741,50
297,43.6417852,-79.4131148,50
298,43.655766,-79.3802,50
299,43.680466,-79.432522,20
300,43.664088,-79.387095,50
301,43.65917,-79.46997,21
302,43.671535,-79.379173,50
303,43.646734,-79.38301,50
304,43.6662942,-79.4066433,50
305,43.675278,-79.423889,31
306,43.648928,-79.378623,50
307,43.6509552,-79.3707,50
308,43.715951,-79.351246,8
309,43.665645,-79.304711,24
310,43.645572,-79.39399,50
311,43.652777,-79.372637,50
312,43.665538,-79.451263,30
313,43.650325,-79.372287,50
314,43.66943,-79.38915,50
315,43.669244,-79.3894,50
316,43.683351,-79.41562,30
317,43.6574766,-79.373446,50
318,43.636611,-79.400042,50
319,43.646552,-79.406468,50
320,43.647259,-79.379878,50
321,43.713524,-79.400162,19
322,43.6500392,-79.3733541,50
323,43.653264,-79.382458,50
324,43.663376,-79.392125,50
325,43.660439,-79.385525,50
326,43.659226,-79.390213,50
327,43.65995,-79.38964,50
328,43.661803,-79.389682,50
329,43.660087,-79.385655,50
330,43.6146692,-79.4873148,16
331,43.626265,-79.476723,17
332,43.63771,-79.458173,20
333,43.6390437,-79.4760109,24
334,43.6486599,-79.4376413,39
335,43.6423847,-79.4240277,41
336,43.6702236,-79.4360232,33
337,43.6752732,-79.3778458,50
338,43.645469,-79.411084,50
339,43.6882821,-79.4253856,22
340,43.651603,-79.408346,50
341,43.670206,-79.402643,50
342,43.661559,-79.413845,46
343,43.6560758,-79.393259,50
344,43.6580442,-79.3927404,50
345,43.6568254,-79.3966159,50
346,43.5927419,-79.5403301,15
347,43.597082,-79.522768,12
348,43.6171635,-79.4971065,15
349,43.612063,-79.496573,14
350,43.63732,-79.489083,21
351,43.5961692,-79.5160575,15
352,43.613606,-79.4883535,16
353,43.664665,-79.489385,13
354,43.665523,-79.484892,16
355,43.668496,-79.485426,17
356,43.698841,-79.519472,15
357,43.658574,-79.487246,15
358,43.63985,-79.43703,29
359,43.665076,-79.341509,39
360,43.6323994,-79.4097818,38
361,43.6935477,-79.3301658,15
362,43.6438036,-79.4770327,28
363,43.65246,-79.413528,50
364,43.6548521,-79.3539768,37
365,43.630874,-79.482407,19
366,43.6704403,-79.4532855,27
367,43.6535,-79.354068,36
368,43.6617908,-79.361515,42
369,43.649709,-79.364184,47
370,43.666051,-79.374161,49
371,43.7005976,-79.397345,26
372,43.7029672,-79.3979073,24
373,43.68871,-79.39264,41
374,43.6834703,-79.5108942,14
375,43.7696262,-79.5025943,5
376,43.7641485,-79.5012809,5
377,43.76521,-79.491281,4
378,43.7724019,-79.4675395,6
379,43.7781116,-79.467963,9
380,43.707049,-79.40966,20
381,43.711751,-79.378615,19
382,43.732975,-79.40401,15
383,43.660274,-79.398049,50
384,43.699281,-79.318802,13
385,43.696631,-79.297436,18
386,43.650077,-79.391291,50
387,43.6765897,-79.3163022,34
388,43.650745,-79.383633,50
389,43.720233,-79.362092,7
390,43.6926825,-79.441042,17
391,43.7041957,-79.4094472,20
392,43.7078691,-79.39248,28
393,43.5880774,-79.5432067,11
394,43.754978,-79.1971289,6
395,43.6856,-79.3718,28
396,43.637764,-79.345359,5
397,43.6629228,-79.4018451,50
398,43.660296,-79.397107,50
399,43.7805505,-79.1301203,4
400,43.7777114,-79.1659711,5
401,43.779353,-79.193023,3
402,43.747854,-79.199327,7
403,43.7561681,-79.2026694,6
404,43.6002896,-79.5108692,11
405,43.6615467,-79.498398,10
406,43.6632257,-79.4397052,33
407,43.680095,-79.291714,25
408,43.691468,-79.288619,18
409,43.645609,-79.380386,50
410,43.65916667,-79.38555556,50
411,43.658777,-79.369596,50
412,43.6625395,-79.5030161,10
413,43.7004017,-79.4275305,18
414,43.77953,-79.45233,12
415,43.7774374,-79.4447096,11
416,43.6637403,-79.3980645,50
417,43.707045,-79.375437,15
418,43.6495789,-79.3762096,50
419,43.690903,-79.4375028,15
420,43.64325309,-79.4123047,50
421,43.6029904,-79.4926867,13
422,43.6596299,-79.4799176,21
423,43.6608333,-79.43166667,34
424,43.66083333,-79.43583333,32
425,43.69933,-79.39199,26
426,43.6653032,-79.4701178,21
427,43.6162721,-79.4990363,14
428,43.720645,-79.355474,6
429,43.6641174,-79.4588522,34
430,43.6424558,-79.4296346,42
431,43.6954486,-79.4026176,26
432,43.6850809,-79.3149901,32
433,43.6800218,-79.3405681,30
434,43.7842419,-79.1849889,4
435,43.6451308,-79.3653644,41
436,43.6482995,-79.3552533,30
437,43.656373,-79.3878104,50
438,43.657838,-79.38631,50
439,43.778015,-79.131911,4
440,43.672079,-79.470171,17
441,43.690237,-79.350119,22
442,43.70942,-79.39139,25
443,43.671389,-79.382919,50
444,43.671561,-79.38117,50
445,43.669903,-79.387802,50
446,43.693256,-79.383238,27
447,43.6541245,-79.4636388,28
448,43.680207,-79.339243,30
449,43.6589882,-79.438715,33
450,43.6741219,-79.4352208,26
451,43.6469928,-79.3706665,50
452,43.683884,-79.36647,22
453,43.6578449,-79.3899265,50
454,43.6477785,-79.3847928,50
455,43.6856128,-79.3116827,33
456,43.681944,-79.390556,45
457,43.64534,-79.409597,50
458,43.6393107,-79.4408141,27
459,43.6830689,-79.279682,8
460,43.6626628,-79.3323698,31
461,43.681114,-79.3373885,27
462,43.638925,-79.4168659,43
463,43.676216,-79.309395,37
464,43.652822,-79.378208,50
465,43.656633,-79.379625,50
466,43.686962,-79.286864,15
467,43.718039,-79.371914,11
468,43.672152,-79.39018,50
469,43.673019,-79.467994,20
470,43.72268,-79.37644,9
471,43.6504218,-79.4407647,32
472,43.6885046,-79.3940052,44
473,43.641705,-79.393295,50
474,43.647663,-79.487583,21
475,43.720998,-79.377456,9
476,43.7281464,-79.4032194,13
477,43.65232722,-79.38825382,50
478,43.6438602,-79.4227573,39
