,id,name,lat,lon,bikes
143,fba4560a5641afdb69a97d04466ef788,St Clair Ave W / Bathurst St.,43.683296,-79.418734,17
144,a943462e1ee05f0073b647a5b787f81d,Queen St E / Nursewood Rd,43.673831,-79.281455,1
145,e3c4ef5e47b905992ebcd262cc3df594,Kewbeach Ave / Kenilworth Ave,43.666325,-79.3014,3
146,044fd938d016b91837e9b02be913b5c7,Lakeview Ave / Harrison St (Green P) – SMART,43.651145,-79.423742,0
147,c8cc2df4c8343778481f7f7c53499df7,Baldwin St / Spadina Ave - SMART,43.654905,-79.398448,5
148,db9bcdbd258af5174a3e6d725807957e,Frederick St / King St E,43.651118,-79.369411,22
149,2037c7d47c8b7babcd2c4a058a66a6c8,College St / Borden St,43.6571,-79.4056,3
150,73555343619c6b9d1253029204bbd5cd,Beverley  St / Dundas St W,43.652823,-79.393388,18
151,d4c9a3af6604468422edfb03f56462db,Bay St / St. Joseph St,43.665527,-79.387499,8
152,6e0b53806a9d068b042fa21bd67c5418,Gould St / Mutual St,43.6582,-79.3768,17
153,c6f56ec0831b791abbce0992adba6318,Riverdale Park North (Broadview Ave),43.671172,-79.354704,5
154,3b2853992a1700739c8fa569801e1c48,Danforth Ave / Ellerbeck St,43.677076,-79.35667,2
155,18f8c64419b95e0c4692621928ce7dd6,Pape Subway Station (Green P),43.680223,-79.344062,5
156,a9f7723da0cc432f4d057e3ceede292e,Danforth Ave / Gough Ave,43.678401,-79.346289,16
157,79b67fbfd130d41c9162e805a9e755be,Danforth Ave / Lamb Ave,43.681991,-79.329455,14
158,667cd54aa27ec06620753f3d19a78b3d,King St W / Stafford St,43.6422222,-79.41111111111111,14
159,37b46f2e5573e69f5451dc09c0c14660,Bathurst St / Lennox St,43.663808,-79.410491,10
160,8db545a0135f7b92022fbdbbc75af6c4,Bathurst Subway Station,43.6666667,-79.41166666666668,20
161,78ac4436b3398ac55b47569863af6c41,Bloor St W / Christie St,43.6638889,-79.41888888888889,15
162,6d45f03d18059ba5e61f0d44a0cea59d,Ossington Ave / Bloor St W,43.661705,-79.425734,7
163,cf1adac21d23e26855ea06278b5cd149,Essex St / Christie St - SMART,43.6686111,-79.42027777777778,9
164,3863dd61e00ea66710f789ae4297a2d2,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,13
165,46bdd4a2b7715a9e32917b830777f17f,Havelock St / Dufferin Park,43.657343,-79.43112,5
166,6ac9cdf0b92883715b404d41c779af0b,Bathurst St / Adelaide St W,43.645324,-79.40345,0
167,a0582ad73e21704a28197ee3c0aa4bcd,Mill St / Parliament St,43.650256,-79.36163,10
168,bc19a4e6924e29937e76c9e82b55584c,Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,1
169,71debce521f35fd4e280e8ee1e2dd8cc,80 Clinton St,43.656296,-79.414663,14
170,5dd14c8888280d1274f6ad3e04f6d6cd,Claremont St / Dundas St W,43.651281,-79.411717,9
171,d7bb48a755f69109f6584df0a207c9b2,Rusholme Park Cres / College St,43.65277778,-79.42972222,4
172,e53f168eadc3a7e3b9704193c739cb12,College St / Crawford St,43.655,-79.418889,3
173,a0a11d15c4bd8231d739f71d85a8f29c,Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,1
